movie_title,imdb_score,profit
"Any Given Sunday",6.8,20530832
"The Horse Whisperer",6.5,15370763
Collateral,7.6,35003492
"The Scorpion King",5.5,30341670
"Ladder 49",6.5,19540762
"Deep Blue Sea",5.8,13648142
"This Is It",7.3,11844424
Contagion,6.6,15638743
"Kangaroo Jack",4.4,6734992
Coraline,7.7,15280058
"The Happening",5,16505912
"Man on Fire",7.7,7862546
"The Shaggy Dog",4.4,11112916
"Starsky & Hutch",6.1,28200225
"Jingle All the Way",5.4,573641
Hellboy,6.8,-6964896
"A Civil Action",6.5,-3297099
ParaNorman,7,-4005443
"The Jackal",6.3,-5089440
Paycheck,6.3,-6210687
"Up Close & Personal",6.1,-8954199
"The Tale of Despereaux",6.1,-9181250
"Rules of Engagement",7.3,NULL
"The Tuxedo",5.3,-9810821
"Under Siege 2: Dark Territory",5.4,-9975917
"Jack Ryan: Shadow Recruit",6.2,-9450893
Joy,6.6,-3556518
"London Has Fallen",5.9,2401264
"Alien: Resurrection",6.3,-27251390
Shooter,7.2,-14024817
"The Boxtrolls",6.8,-9192361
"Practical Magic",6.1,-1388796
"The Lego Movie",7.8,197756197
"Miss Congeniality 2: Armed and Fabulous",5,3472213
"Reign of Fire",6.2,-16939434
"Gangster Squad",6.7,-14003282
"Year One",4.9,-16662721
Invictus,7.4,-22520222
"State of Play",7.1,NULL
Duplicity,6.2,-19440070
"My Favorite Martian",4.9,-28169943
"The Sentinel",6.1,-23720770
"Planet 51",6.1,-27805940
"Star Trek: Nemesis",6.4,-16880121
"Intolerable Cruelty",6.3,-24903810
"Trouble with the Curve",6.8,NULL
"Edge of Darkness",6.6,-36709023
"The Relic",5.7,-6072524
"Analyze That",5.9,-27877751
"Righteous Kill",6,-19923562
"The Soloist",6.7,-28329069
"The Legend of Bagger Vance",6.7,-29304773
"Almost Famous",7.9,-27477648
"Garfield 2",5,NULL
"xXx: State of the Union",4.3,-60917086
Priest,5.7,-30863374
"Sinbad: Legend of the Seven Seas",6.7,-33711680
"Event Horizon",6.7,-33383410
Dragonfly,6.1,-29936195
"The Black Dahlia",5.6,-27481675
Flyboys,6.6,-46917712
"The Last Castle",6.9,-41791922
Supernova,4.8,-50781132
"Winter's Tale",6.2,-59977549
"The Mortal Instruments: City of Bones",6,-28834579
"Meet Dave",4.9,-48197944
